task_id,department,planner_type,task_name,equipment_or_item_id,activity_type,frequency,due_type,due_date,report_due_date,last_done_date,action_done_date,action_status,report_done_date,report_status,responsible_email,report_link,rescheduled_from,reschedule_reason,remarks,source_file
QA-SCHED-001-20260210,QA,Validation & Calibration Schedule,Digital thermo hygrometer DTH-01 to DTH -16,DTH-01 to DTH -16,calibration,yearly,specific_date,2026-02-10,2026-02-20,2025-02-11,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-002-20260211,QA,Validation & Calibration Schedule,Digital thermo hygrometer DTH-018 to DTH -35,DTH-018 to DTH -35,calibration,yearly,specific_date,2026-02-11,2026-02-21,2025-02-12,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-003-20260212,QA,Validation & Calibration Schedule,Digital thermo hygrometer DTH-36 to DTH -53,DTH-36 to DTH -53,calibration,yearly,specific_date,2026-02-12,2026-02-22,2025-02-13,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-004-20260228,QA,Validation & Calibration Schedule,Digital thermo hygrometer DTH-54 to DTH -65,DTH-54 to DTH -65,calibration,yearly,specific_date,2026-02-28,2026-03-10,2025-03-01,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-005-20260310,QA,Validation & Calibration Schedule,Solvent area,,temperature_mapping,yearly,specific_date,2026-03-10,2026-03-20,2025-03-11,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-006-20260413,QA,Validation & Calibration Schedule,Sampling Inactive area,,temperature_mapping,yearly,specific_date,2026-04-13,2026-04-23,2025-04-14,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-007-20260413,QA,Validation & Calibration Schedule,Sampling Active area,,temperature_mapping,yearly,specific_date,2026-04-13,2026-04-23,2025-04-14,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-008-20260413,QA,Validation & Calibration Schedule,Dispensing active,,temperature_mapping,yearly,specific_date,2026-04-13,2026-04-23,2025-04-14,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-009-20260413,QA,Validation & Calibration Schedule,Dispensing Inactive,,temperature_mapping,yearly,specific_date,2026-04-13,2026-04-23,2025-04-14,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-010-20260428,QA,Validation & Calibration Schedule,Muffle furace QCI/02016,QCI/02016,temperature_mapping,yearly,specific_date,2026-04-28,2026-05-08,2025-04-29,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
