task_id,department,planner_type,task_name,equipment_or_item_id,activity_type,frequency,due_type,due_date,report_due_date,last_done_date,action_done_date,action_status,report_done_date,report_status,responsible_email,report_link,rescheduled_from,reschedule_reason,remarks,source_file
SOP-UTL-033-20260908,Engineering,SOP Review,Review SOP-UTL-033 - Water Softener Plant,SOP-UTL-033,sop_review,two-yearly,specific_date,2026-09-08,2026-09-18,2024-09-09,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2024-09-09,QA_SOP/SOP INDEX.xlsx
SOP-UTL-037-20260916,Engineering,SOP Review,Review SOP-UTL-037 - FDV Challenge Test,SOP-UTL-037,sop_review,two-yearly,specific_date,2026-09-16,2026-09-26,2024-09-17,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2024-09-17,QA_SOP/SOP INDEX.xlsx
SOP-UTL-029-20261119,Engineering,SOP Review,Review SOP-UTL-029 - Diesel Generator (30 KVA),SOP-UTL-029,sop_review,two-yearly,specific_date,2026-11-19,2026-11-29,2024-11-20,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2024-11-20,QA_SOP/SOP INDEX.xlsx
SOP-UTL-003-20270107,Engineering,SOP Review,Review SOP-UTL-003 - Air Compressor,SOP-UTL-003,sop_review,two-yearly,specific_date,2027-01-07,2027-01-17,2025-01-08,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-01-08,QA_SOP/SOP INDEX.xlsx
SOP-UTL-011-20270312,Engineering,SOP Review,Review SOP-UTL-011 - Preventive Maintenance of Bottle Washing Machine,SOP-UTL-011,sop_review,two-yearly,specific_date,2027-03-12,2027-03-22,2025-03-13,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-03-13,QA_SOP/SOP INDEX.xlsx
SOP-UTL-019-20270316,Engineering,SOP Review,Review SOP-UTL-019 - Preventive Maintenance of Filling & Cap Sealing Machine,SOP-UTL-019,sop_review,two-yearly,specific_date,2027-03-16,2027-03-26,2025-03-17,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-03-17,QA_SOP/SOP INDEX.xlsx
SOP-UTL-021-20270316,Engineering,SOP Review,Review SOP-UTL-021 - Preventive Maintenance of PW Water Skid & Re-circulation system,SOP-UTL-021,sop_review,two-yearly,specific_date,2027-03-16,2027-03-26,2025-03-17,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-03-17,QA_SOP/SOP INDEX.xlsx
SOP-UTL-026-20270316,Engineering,SOP Review,Review SOP-UTL-026 - Preventive Maintenance of R.O. and R.D.I. Plant,SOP-UTL-026,sop_review,two-yearly,specific_date,2027-03-16,2027-03-26,2025-03-17,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-03-17,QA_SOP/SOP INDEX.xlsx
SOP-UTL-035-20270317,Engineering,SOP Review,Review SOP-UTL-035 - Computer System Validation,SOP-UTL-035,sop_review,two-yearly,specific_date,2027-03-17,2027-03-27,2025-03-18,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-03-18,QA_SOP/SOP INDEX.xlsx
SOP-UTL-032-20270328,Engineering,SOP Review,Review SOP-UTL-032 - Diesel Generator (500 KVA),SOP-UTL-032,sop_review,two-yearly,specific_date,2027-03-28,2027-04-07,2025-03-29,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-03-29,QA_SOP/SOP INDEX.xlsx
SOP-UTL-038-20270515,Engineering,SOP Review,Review SOP-UTL-038 - Clock Synchronise,SOP-UTL-038,sop_review,two-yearly,specific_date,2027-05-15,2027-05-25,2025-05-16,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-05-16,QA_SOP/SOP INDEX.xlsx
