task_id,department,planner_type,task_name,equipment_or_item_id,activity_type,frequency,due_type,due_date,report_due_date,last_done_date,action_done_date,action_status,report_done_date,report_status,responsible_email,report_link,rescheduled_from,reschedule_reason,remarks,source_file
SOP-EHS-002-20270127,PA-EHS,SOP Review,Review SOP-EHS-002 - Standard Operating Procedure General Safety Conduct in The Company Premises.,SOP-EHS-002,sop_review,two-yearly,specific_date,2027-01-27,2027-02-06,2025-01-28,,pending,,pending,Hr@enicarpharma.com,,,,SOP INDEX sheet PA-EHS; issued 2025-01-28,QA_SOP/SOP INDEX.xlsx
SOP-EHS-001-20270203,PA-EHS,SOP Review,Review SOP-EHS-001 - Standard Operating Procedure Role & Responsibility of Safety Incharge,SOP-EHS-001,sop_review,two-yearly,specific_date,2027-02-03,2027-02-13,2025-02-04,,pending,,pending,Hr@enicarpharma.com,,,,SOP INDEX sheet PA-EHS; issued 2025-02-04,QA_SOP/SOP INDEX.xlsx
SOP-EHS-003-20270203,PA-EHS,SOP Review,Review SOP-EHS-003 - Standard Operating Procedure General Safety Conduct at Work Place.,SOP-EHS-003,sop_review,two-yearly,specific_date,2027-02-03,2027-02-13,2025-02-04,,pending,,pending,Hr@enicarpharma.com,,,,SOP INDEX sheet PA-EHS; issued 2025-02-04,QA_SOP/SOP INDEX.xlsx
SOP-EHS-005-20270203,PA-EHS,SOP Review,Review SOP-EHS-005 - Standard Operating Safety Commitee,SOP-EHS-005,sop_review,two-yearly,specific_date,2027-02-03,2027-02-13,2025-02-04,,pending,,pending,Hr@enicarpharma.com,,,,SOP INDEX sheet PA-EHS; issued 2025-02-04,QA_SOP/SOP INDEX.xlsx
SOP-PA-007-20270516,PA-EHS,SOP Review,Review SOP-PA-007 - Induction Training of Employees,SOP-PA-007,sop_review,two-yearly,specific_date,2027-05-16,2027-05-26,2025-05-17,,pending,,pending,Hr@enicarpharma.com,,,,SOP INDEX sheet PA-EHS; issued 2025-05-17,QA_SOP/SOP INDEX.xlsx
SOP-PA-008-20270516,PA-EHS,SOP Review,Review SOP-PA-008 - Recruitment of Employees,SOP-PA-008,sop_review,two-yearly,specific_date,2027-05-16,2027-05-26,2025-05-17,,pending,,pending,Hr@enicarpharma.com,,,,SOP INDEX sheet PA-EHS; issued 2025-05-17,QA_SOP/SOP INDEX.xlsx
SOP-PA-005-20270522,PA-EHS,SOP Review,Review SOP-PA-005 - In-House Laundry,SOP-PA-005,sop_review,two-yearly,specific_date,2027-05-22,2027-06-01,2025-05-23,,pending,,pending,Hr@enicarpharma.com,,,,SOP INDEX sheet PA-EHS; issued 2025-05-23,QA_SOP/SOP INDEX.xlsx
SOP-PA-001-20270924,PA-EHS,SOP Review,Review SOP-PA-001 - Pest & Rodent Control,SOP-PA-001,sop_review,two-yearly,specific_date,2027-09-24,2027-10-04,2025-09-25,,pending,,pending,Hr@enicarpharma.com,,,,SOP INDEX sheet PA-EHS; issued 2025-09-25,QA_SOP/SOP INDEX.xlsx
SOP-PA-003-20280128,PA-EHS,SOP Review,Review SOP-PA-003 - Sanitization / Housekeeping,SOP-PA-003,sop_review,two-yearly,specific_date,2028-01-28,2028-02-07,2026-01-29,,pending,,pending,Hr@enicarpharma.com,,,,SOP INDEX sheet PA-EHS; issued 2026-01-29,QA_SOP/SOP INDEX.xlsx
SOP-PA-006-20280211,PA-EHS,SOP Review,Review SOP-PA-006 - Scrap yard management,SOP-PA-006,sop_review,two-yearly,specific_date,2028-02-11,2028-02-21,2026-02-12,,pending,,pending,Hr@enicarpharma.com,,,,SOP INDEX sheet PA-EHS; issued 2026-02-12,QA_SOP/SOP INDEX.xlsx
SOP-PA-009-20280315,PA-EHS,SOP Review,Review SOP-PA-009 - Healthy And Safety Policy,SOP-PA-009,sop_review,two-yearly,specific_date,2028-03-15,2028-03-25,2026-03-16,,pending,,pending,Hr@enicarpharma.com,,,,SOP INDEX sheet PA-EHS; issued 2026-03-16,QA_SOP/SOP INDEX.xlsx
SOP-PA-010-20280315,PA-EHS,SOP Review,Review SOP-PA-010 - Medical Check-UP,SOP-PA-010,sop_review,two-yearly,specific_date,2028-03-15,2028-03-25,2026-03-16,,pending,,pending,Hr@enicarpharma.com,,,,SOP INDEX sheet PA-EHS; issued 2026-03-16,QA_SOP/SOP INDEX.xlsx
SOP-PA-002-20280318,PA-EHS,SOP Review,Review SOP-PA-002 - Fire Extinguisher,SOP-PA-002,sop_review,two-yearly,specific_date,2028-03-18,2028-03-28,2026-03-19,,pending,,pending,Hr@enicarpharma.com,,,,SOP INDEX sheet PA-EHS; issued 2026-03-19,QA_SOP/SOP INDEX.xlsx
SOP-PA-004-20280402,PA-EHS,SOP Review,Review SOP-PA-004 - Personnel Hygiene,SOP-PA-004,sop_review,two-yearly,specific_date,2028-04-02,2028-04-12,2026-04-03,,pending,,pending,Hr@enicarpharma.com,,,,SOP INDEX sheet PA-EHS; issued 2026-04-03,QA_SOP/SOP INDEX.xlsx
