task_id,department,planner_type,task_name,equipment_or_item_id,activity_type,frequency,due_type,due_date,report_due_date,last_done_date,action_done_date,action_status,report_done_date,report_status,responsible_email,report_link,rescheduled_from,reschedule_reason,remarks,source_file
SOP-PR-064-20260803,Production,SOP Review,Review SOP-PR-064 - Premixing Vessel 500 Ltr-1 of 10 KL Manufacturing tank,SOP-PR-064,sop_review,two-yearly,specific_date,2026-08-03,2026-08-13,2024-08-04,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2024-08-04,QA_SOP/SOP INDEX.xlsx
SOP-PR-065-20260803,Production,SOP Review,Review SOP-PR-065 - Premixing Vessel 500 Ltr-1 of 05 KL Manufacturing tank,SOP-PR-065,sop_review,two-yearly,specific_date,2026-08-03,2026-08-13,2024-08-04,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2024-08-04,QA_SOP/SOP INDEX.xlsx
SOP/1-PR-001-20260803,Production,SOP Review,Review SOP/1-PR-001 - Sucrose syrup manufacturing tank,SOP/1-PR-001,sop_review,two-yearly,specific_date,2026-08-03,2026-08-13,2024-08-04,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2024-08-04,QA_SOP/SOP INDEX.xlsx
SOP/1-PR-002-20260803,Production,SOP Review,Review SOP/1-PR-002 - 10 KL Manufacturing tank,SOP/1-PR-002,sop_review,two-yearly,specific_date,2026-08-03,2026-08-13,2024-08-04,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2024-08-04,QA_SOP/SOP INDEX.xlsx
SOP/1-PR-003-20260803,Production,SOP Review,Review SOP/1-PR-003 - 5 KL Manufacturing tank,SOP/1-PR-003,sop_review,two-yearly,specific_date,2026-08-03,2026-08-13,2024-08-04,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2024-08-04,QA_SOP/SOP INDEX.xlsx
SOP/1-PR-004-20260803,Production,SOP Review,Review SOP/1-PR-004 - 10 KL Liquid Storage tank,SOP/1-PR-004,sop_review,two-yearly,specific_date,2026-08-03,2026-08-13,2024-08-04,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2024-08-04,QA_SOP/SOP INDEX.xlsx
SOP/1-PR-006-20260803,Production,SOP Review,Review SOP/1-PR-006 - In Line Homogenizer,SOP/1-PR-006,sop_review,two-yearly,specific_date,2026-08-03,2026-08-13,2024-08-04,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2024-08-04,QA_SOP/SOP INDEX.xlsx
SCP/1-PR-006-20260804,Production,SOP Review,Review SCP/1-PR-006 - Inline homogenizer,SCP/1-PR-006,sop_review,two-yearly,specific_date,2026-08-04,2026-08-14,2024-08-05,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2024-08-05,QA_SOP/SOP INDEX.xlsx
SOP-PR-029-20260916,Production,SOP Review,Review SOP-PR-029 - Dipstick,SOP-PR-029,sop_review,two-yearly,specific_date,2026-09-16,2026-09-26,2024-09-17,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2024-09-17,QA_SOP/SOP INDEX.xlsx
SCP-PR-024-20260927,Production,SOP Review,Review SCP-PR-024 - Sparkler Filter Press,SCP-PR-024,sop_review,two-yearly,specific_date,2026-09-27,2026-10-07,2024-09-28,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2024-09-28,QA_SOP/SOP INDEX.xlsx
CAL-PR-014-20260928,Production,SOP Review,Review CAL-PR-014 - 40 Litre S. S. Vessel,CAL-PR-014,sop_review,two-yearly,specific_date,2026-09-28,2026-10-08,2024-09-29,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2024-09-29,QA_SOP/SOP INDEX.xlsx
SOP-PR-069-20261016,Production,SOP Review,Review SOP-PR-069 - Clean in place System,SOP-PR-069,sop_review,two-yearly,specific_date,2026-10-16,2026-10-26,2024-10-17,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2024-10-17,QA_SOP/SOP INDEX.xlsx
SOP-PR-096-20261115,Production,SOP Review,Review SOP-PR-096 - Sleeve Printing Machine,SOP-PR-096,sop_review,two-yearly,specific_date,2026-11-15,2026-11-25,2024-11-16,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2024-11-16,QA_SOP/SOP INDEX.xlsx
SOP-PR-012-20270106,Production,SOP Review,Review SOP-PR-012 - 8-Head Linear Bottle Filling Machine,SOP-PR-012,sop_review,two-yearly,specific_date,2027-01-06,2027-01-16,2025-01-07,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2025-01-07,QA_SOP/SOP INDEX.xlsx
SOP-PR-090-20270106,Production,SOP Review,Review SOP-PR-090 - 600 Litre manufacturing Tank,SOP-PR-090,sop_review,two-yearly,specific_date,2027-01-06,2027-01-16,2025-01-07,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2025-01-07,QA_SOP/SOP INDEX.xlsx
SOP-PR-091-20270106,Production,SOP Review,Review SOP-PR-091 - Litre liquid 600 storage tank,SOP-PR-091,sop_review,two-yearly,specific_date,2027-01-06,2027-01-16,2025-01-07,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2025-01-07,QA_SOP/SOP INDEX.xlsx
SCP-PR-015-20270323,Production,SOP Review,Review SCP-PR-015 - Self Adhesive Bottle Labeling Machine,SCP-PR-015,sop_review,two-yearly,specific_date,2027-03-23,2027-04-02,2025-03-24,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2025-03-24,QA_SOP/SOP INDEX.xlsx
SOP-PR-036-20270325,Production,SOP Review,Review SOP-PR-036 - PVC Shrink Machine,SOP-PR-036,sop_review,two-yearly,specific_date,2027-03-25,2027-04-04,2025-03-26,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2025-03-26,QA_SOP/SOP INDEX.xlsx
SOP-PR-051-20270325,Production,SOP Review,Review SOP-PR-051 - Roller Label Printing Machine,SOP-PR-051,sop_review,two-yearly,specific_date,2027-03-25,2027-04-04,2025-03-26,,pending,,pending,production@enicarpharma.com,,,,SOP INDEX sheet PRODUCTION; issued 2025-03-26,QA_SOP/SOP INDEX.xlsx
