task_id,department,planner_type,task_name,equipment_or_item_id,activity_type,frequency,due_type,due_date,report_due_date,last_done_date,action_done_date,action_status,report_done_date,report_status,responsible_email,report_link,rescheduled_from,reschedule_reason,remarks,source_file
SOP-ST-004-20260815,Store,SOP Review,Review SOP-ST-004 - Handling of Rejected Material,SOP-ST-004,sop_review,two-yearly,specific_date,2026-08-15,2026-08-25,2024-08-16,,pending,,pending,Stores@enicarpharma.com,,,,SOP INDEX sheet STORE; issued 2024-08-16,QA_SOP/SOP INDEX.xlsx
SOP-ST-021-20261215,Store,SOP Review,Review SOP-ST-021 - Return of Packing Materials from Production to Stores,SOP-ST-021,sop_review,two-yearly,specific_date,2026-12-15,2026-12-25,2024-12-16,,pending,,pending,Stores@enicarpharma.com,,,,SOP INDEX sheet STORE; issued 2024-12-16,QA_SOP/SOP INDEX.xlsx
SOP-ST-033-20261227,Store,SOP Review,Review SOP-ST-033 - Transfer of Raw/ Packing material,SOP-ST-033,sop_review,two-yearly,specific_date,2026-12-27,2027-01-06,2024-12-28,,pending,,pending,Stores@enicarpharma.com,,,,SOP INDEX sheet STORE; issued 2024-12-28,QA_SOP/SOP INDEX.xlsx
SOP-ST-034-20261227,Store,SOP Review,Review SOP-ST-034 - Label Management (GTIN Bar Code & Shipper Label),SOP-ST-034,sop_review,two-yearly,specific_date,2026-12-27,2027-01-06,2024-12-28,,pending,,pending,Stores@enicarpharma.com,,,,SOP INDEX sheet STORE; issued 2024-12-28,QA_SOP/SOP INDEX.xlsx
SOP-ST-011-20270423,Store,SOP Review,Review SOP-ST-011 - Reverse Laminar Air Flow (RLAF) Units in Dispensing room,SOP-ST-011,sop_review,two-yearly,specific_date,2027-04-23,2027-05-03,2025-04-24,,pending,,pending,Stores@enicarpharma.com,,,,SOP INDEX sheet STORE; issued 2025-04-24,QA_SOP/SOP INDEX.xlsx
SOP/1-ST-011-20270509,Store,SOP Review,Review SOP/1-ST-011 - Reverse Laminar Air Flow (RLAF),SOP/1-ST-011,sop_review,two-yearly,specific_date,2027-05-09,2027-05-19,2025-05-10,,pending,,pending,Stores@enicarpharma.com,,,,SOP INDEX sheet STORE; issued 2025-05-10,QA_SOP/SOP INDEX.xlsx
SOP/1-ST-012-20270511,Store,SOP Review,"Review SOP/1-ST-012 - SOP for Operation, Cleaning, Calibration of Weighing Balance",SOP/1-ST-012,sop_review,two-yearly,specific_date,2027-05-11,2027-05-21,2025-05-12,,pending,,pending,Stores@enicarpharma.com,,,,SOP INDEX sheet STORE; issued 2025-05-12,QA_SOP/SOP INDEX.xlsx
SOP-ST-018-20270515,Store,SOP Review,Review SOP-ST-018 - Handling of Cold Storage Material,SOP-ST-018,sop_review,two-yearly,specific_date,2027-05-15,2027-05-25,2025-05-16,,pending,,pending,Stores@enicarpharma.com,,,,SOP INDEX sheet STORE; issued 2025-05-16,QA_SOP/SOP INDEX.xlsx
SOP-ST-029-20270515,Store,SOP Review,Review SOP-ST-029 - Dispensing of Packing Material,SOP-ST-029,sop_review,two-yearly,specific_date,2027-05-15,2027-05-25,2025-05-16,,pending,,pending,Stores@enicarpharma.com,,,,SOP INDEX sheet STORE; issued 2025-05-16,QA_SOP/SOP INDEX.xlsx
SOP-ST-016-20270803,Store,SOP Review,Review SOP-ST-016 - Handling of Retest Material,SOP-ST-016,sop_review,two-yearly,specific_date,2027-08-03,2027-08-13,2025-08-04,,pending,,pending,Stores@enicarpharma.com,,,,SOP INDEX sheet STORE; issued 2025-08-04,QA_SOP/SOP INDEX.xlsx
